GRIDCODE	PARAM	VALUE	n	QE	Unit	Months	Mean	Resp	DepthLimit	PoorBad	ModPoor	GoodMod	HiGood	EutRatio	EutClass	EutClass1
20kmE572N210	Secchi_m	12.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.72	2	2
20kmE574N182	DO_mg	6.52	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.613496932515337	2	2
20kmE574N182	Secchi_m	28	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.321428571428571	1	1
20kmE574N184	Chla_ug	0.416016764610381	3	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.416016764610381	1	1
20kmE574N184	DO_mg	6.545	4	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.611153552330023	2	2
20kmE574N184	Secchi_m	13.875	8	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.648648648648649	2	2
20kmE574N188	DO_mg	6.64	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.602409638554217	2	2
20kmE574N188	Secchi_m	20.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.439024390243902	1	1
20kmE574N210	Secchi_m	0.75	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	12	5	5
20kmE576N186	Chla_ug	0.5	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.5	1	1
20kmE576N186	Secchi_m	13	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.692307692307692	2	2
20kmE576N188	Chla_ug	0.244948974278318	2	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.244948974278318	1	1
20kmE576N188	DO_mg	5.86	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.68259385665529	2	2
20kmE576N188	Secchi_m	19	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.473684210526316	1	1
20kmE576N192	Chla_ug	0.366284150148471	4	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.366284150148471	1	1
20kmE576N192	DO_mg	7.19	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.556328233657858	2	2
20kmE576N192	Secchi_m	15.75	4	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.571428571428571	1	2
20kmE576N196	Chla_ug	0.2	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.2	1	1
20kmE576N196	Secchi_m	26	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.346153846153846	1	1
20kmE576N198	Chla_ug	0.282842712474619	2	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.282842712474619	1	1
20kmE576N198	DO_mg	7.06333333333333	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.566304860783388	2	2
20kmE576N198	Secchi_m	11.7	5	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.769230769230769	2	2
20kmE578N182	Chla_ug	0.2	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.2	1	1
20kmE578N182	DO_mg	6.82	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.586510263929619	2	2
20kmE578N182	Secchi_m	17.6666666666667	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.509433962264151	1	2
20kmE578N184	Chla_ug	0.4	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.4	1	1
20kmE578N184	DO_mg	7.32	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.546448087431694	2	2
20kmE578N184	Secchi_m	19	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.473684210526316	1	1
20kmE578N186	Chla_ug	3.5301391044437	6	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	3.5301391044437	4	4
20kmE578N186	DO_mg	6.475	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.617760617760618	2	2
20kmE578N186	Secchi_m	8.25	6	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.09090909090909	3	3
20kmE578N188	Chla_ug	1.44913767461894	2	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	1.44913767461894	3	3
20kmE578N188	Secchi_m	5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.8	3	3
20kmE578N190	Chla_ug	1.11245763081869	6	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	1.11245763081869	3	3
20kmE578N190	DO_mg	6.92	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.578034682080925	2	2
20kmE578N190	Secchi_m	12.25	8	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.73469387755102	2	2
20kmE578N192	Chla_ug	0.88227869244638	5	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.88227869244638	2	2
20kmE578N192	DO_mg	7.295	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.548320767649075	2	2
20kmE578N192	Secchi_m	11.6666666666667	6	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.771428571428571	2	2
20kmE580N182	Chla_ug	0.3	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.3	1	1
20kmE580N182	DO_mg	7.11	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.562587904360056	2	2
20kmE580N182	Secchi_m	25.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.352941176470588	1	1
20kmE580N186	DO_mg	3.885	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	1.02960102960103	3	3
20kmE580N186	Secchi_m	1.25	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	7.2	5	5
20kmE580N226	NO23N_ug	40.759497	1	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	4.0759497	5	4
20kmE580N226	Secchi_m	8.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.05882352941176	3	3
20kmE580N226	TP_ug	13.9381929	1	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.99117041428571	4	3
20kmE582N176	Chla_ug	0.621446501190772	6	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.621446501190772	2	2
20kmE582N176	DO_mg	7.62	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.5249343832021	2	2
20kmE582N176	Secchi_m	5.375	6	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.67441860465116	3	3
20kmE582N180	Chla_ug	0.5	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.5	1	1
20kmE582N180	DO_mg	7.22	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.554016620498615	2	2
20kmE582N180	Secchi_m	14.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.620689655172414	1	2
20kmE582N182	Chla_ug	0.391486764116886	3	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.391486764116886	1	1
20kmE582N182	DO_mg	6.84	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.584795321637427	2	2
20kmE582N182	Secchi_m	6.625	4	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.35849056603774	3	3
20kmE584N174	Chla_ug	0.793725393319377	2	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.793725393319377	2	2
20kmE584N174	DO_mg	7.39	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.54127198917456	2	2
20kmE584N174	Secchi_m	16.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.545454545454546	1	2
20kmE584N176	Chla_ug	0.330192724889463	3	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.330192724889463	1	1
20kmE584N176	DO_mg	6.27	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.637958532695375	2	2
20kmE584N176	Secchi_m	11.5	4	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.782608695652174	2	2
20kmE586N168	Chla_ug	0.2	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.2	1	1
20kmE586N168	Secchi_m	24	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.375	1	1
20kmE586N170	DO_mg	7.17	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.557880055788006	2	2
20kmE586N170	Secchi_m	33	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.272727272727273	1	1
20kmE586N172	Chla_ug	0.422948505376226	4	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.422948505376226	1	1
20kmE586N172	DO_mg	7.34666666666667	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.544464609800363	2	2
20kmE586N172	Secchi_m	16.25	6	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.553846153846154	1	2
20kmE586N174	Chla_ug	1.61144637783105	5	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	1.61144637783105	3	3
20kmE586N174	DO_mg	6.22333333333333	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.642742367434387	2	2
20kmE586N174	Secchi_m	10.2	5	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.882352941176471	2	2
20kmE586N222	DO_mg	4.7	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.851063829787234	2	2
20kmE586N222	NO23N_ug	44.4361066124165	4	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	4.44361066124165	5	4
20kmE586N222	Secchi_m	2.7	10	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	3.33333333333333	5	4
20kmE586N222	TP_ug	3.30480019296276	4	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	0.472114313280394	1	1
20kmE588N170	Chla_ug	0.1	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.1	1	1
20kmE588N170	DO_mg	6.3	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.634920634920635	2	2
20kmE588N170	Secchi_m	24.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.36734693877551	1	1
20kmE590N170	Chla_ug	0.2	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.2	1	1
20kmE590N170	DO_mg	7	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.571428571428571	2	2
20kmE590N170	Secchi_m	22	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.409090909090909	1	1
20kmE590N172	Chla_ug	0.1	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.1	1	1
20kmE590N172	Secchi_m	24	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.375	1	1
20kmE590N220	DO_mg	7.93	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.504413619167718	2	2
20kmE590N220	NO23N_ug	27.453132	1	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	2.7453132	4	4
20kmE590N220	Secchi_m	10	4	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.9	2	2
20kmE590N220	TP_ug	2.47790096	1	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	0.353985851428571	1	1
20kmE592N168	Chla_ug	0.2	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.2	1	1
20kmE592N168	DO_mg	6.81	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.587371512481645	2	2
20kmE592N168	Secchi_m	20	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.45	1	1
20kmE592N172	DO_mg	7.47	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.535475234270415	2	2
20kmE592N172	Secchi_m	17	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.529411764705882	1	2
20kmE592N174	Chla_ug	0.1	1	2	µg/L	3,4,5	geometric	+	10	4	2	1	0.5	0.1	1	1
20kmE592N174	Secchi_m	15	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.6	1	2
20kmE594N170	DO_mg	7.14	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.560224089635854	2	2
20kmE594N170	Secchi_m	23.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.382978723404255	1	1
20kmE594N172	DO_mg	6.685	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.598354525056096	2	2
20kmE594N172	Secchi_m	17	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.529411764705882	1	2
20kmE594N222	DO_mg	9.07	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.441014332965821	1	1
20kmE594N222	NO23N_ug	52.366329117234	2	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	5.2366329117234	5	5
20kmE594N222	Secchi_m	14.25	6	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.631578947368421	1	2
20kmE594N222	TP_ug	9.69632122912598	2	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.385188747018	3	3
20kmE596N170	DO_mg	7.12	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.561797752808989	2	2
20kmE596N170	Secchi_m	30	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.3	1	1
20kmE596N172	DO_mg	7.4	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.54054054054054	2	2
20kmE596N172	Secchi_m	27	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.333333333333333	1	1
20kmE598N170	DO_mg	7.195	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.555941626129256	2	2
20kmE598N170	Secchi_m	16	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.5625	1	2
20kmE600N170	DO_mg	6.45	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.62015503875969	2	2
20kmE600N170	Secchi_m	24	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.375	1	1
20kmE602N224	DO_mg	4.56	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.87719298245614	2	2
20kmE602N224	NO23N_ug	47.5272257960623	7	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	4.75272257960623	5	4
20kmE602N224	Secchi_m	5.97777777777778	18	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.50557620817844	3	3
20kmE602N224	TP_ug	8.17938532444811	7	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.1684836177783	3	3
20kmE604N168	DO_mg	7.6	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.526315789473684	2	2
20kmE604N168	Secchi_m	15	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.6	1	2
20kmE606N168	DO_mg	6.97	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.573888091822095	2	2
20kmE606N168	Secchi_m	26.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.339622641509434	1	1
20kmE608N166	DO_mg	6.42	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.623052959501558	2	2
20kmE608N166	Secchi_m	27.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.327272727272727	1	1
20kmE608N168	DO_mg	7.31	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.547195622435021	2	2
20kmE608N168	Secchi_m	21.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.418604651162791	1	1
20kmE608N226	DO_mg	6.94	4	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.576368876080692	2	2
20kmE608N226	NO23N_ug	24.1469297437187	7	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	2.41469297437187	4	4
20kmE608N226	Secchi_m	4.37	20	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	2.05949656750572	4	4
20kmE608N226	TP_ug	14.2487205917335	7	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	2.03553151310478	4	4
20kmE610N170	DO_mg	6.45	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.62015503875969	2	2
20kmE610N170	Secchi_m	15	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.6	1	2
20kmE610N230	DO_mg	3.635	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	1.10041265474553	3	3
20kmE610N230	NO23N_ug	19.7692991841054	4	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	1.97692991841054	3	3
20kmE610N230	Secchi_m	10.5714285714286	14	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.851351351351351	2	2
20kmE610N230	TP_ug	12.2965096463788	4	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.75664423519698	4	3
20kmE612N170	DO_mg	7.62	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.5249343832021	2	2
20kmE612N170	Secchi_m	15	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.6	1	2
20kmE612N232	DO_mg	5.55666666666667	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.719856028794241	2	2
20kmE612N232	NO23N_ug	17.1485383090798	7	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	1.71485383090798	3	3
20kmE612N232	Secchi_m	4.70277777777778	18	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.9137625516834	4	3
20kmE612N232	TP_ug	12.1237747070637	7	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.73196781529481	4	3
20kmE614N170	DO_mg	7.08	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.564971751412429	2	2
20kmE614N170	Secchi_m	20	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.45	1	1
20kmE614N174	DO_mg	7.81	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.512163892445583	2	2
20kmE614N174	Secchi_m	21	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.428571428571429	1	1
20kmE614N176	DO_mg	6.05	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.661157024793388	2	2
20kmE614N176	Secchi_m	9.5	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.947368421052632	2	2
20kmE614N178	DO_mg	7.09333333333333	3	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.56390977443609	2	2
20kmE614N178	Secchi_m	8	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.125	3	3
20kmE614N232	DO_mg	0	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	Inf	5	5
20kmE614N232	NO23N_ug	17.4076946873603	8	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	1.74076946873603	3	3
20kmE614N232	Secchi_m	8.0625	24	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.11627906976744	3	3
20kmE614N232	TP_ug	13.1986494480221	8	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.88552134971744	4	3
20kmE618N178	DO_mg	6.47	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.618238021638331	2	2
20kmE618N178	Secchi_m	14	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.642857142857143	1	2
20kmE618N236	NO23N_ug	24.371658	1	1	µg/L	12,1,2	geometric	+	10	40	20	10	5	2.4371658	4	4
20kmE618N236	Secchi_m	7.5	3	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	1.2	3	3
20kmE618N236	TP_ug	13.00898004	1	1	µg/L	12,1,2	geometric	+	10	16	11	7	5	1.85842572	4	3
20kmE622N178	DO_mg	6.745	2	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.593031875463306	2	2
20kmE622N178	Secchi_m	16.5	2	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.545454545454546	1	2
20kmE624N176	DO_mg	5.7	1	3	mg/l	5,6,7,8,9,10	arithmetic	-	9999	1	2	4	8	0.701754385964912	2	2
20kmE624N176	Secchi_m	29	1	3	m	3,4,5,6,7,8	arithmetic	-	9999	3	5	9	14	0.310344827586207	1	1
