TYPOLOGY	GRIDCODE	PARAM	VALUE	n	CountryCode	QE	Unit	Mean	Resp	GoodMod	EutRatio	EutClass
Type I	20kmE450N242	chl_a_ug	3.38715545917482	56		2	µg/L	geo_mean	+	6.3	0.537643723678543	2
Type I	20kmE450N244	chl_a_ug	1.66366903871561	109		2	µg/L	geo_mean	+	6.3	0.264074450589779	1
Type I	20kmE450N246	chl_a_ug	1.09692413913397	21		2	µg/L	geo_mean	+	6.3	0.174114942719677	1
Type I	20kmE450N248	chl_a_ug	0.982894527511896	21		2	µg/L	geo_mean	+	6.3	0.156015004366968	1
Type I	20kmE452N232	chl_a_ug	4.32476411481204	819		2	µg/L	geo_mean	+	6.3	0.686470494414609	2
Type I	20kmE452N242	chl_a_ug	1.05780581799513	36		2	µg/L	geo_mean	+	6.3	0.167905685396052	1
Type I	20kmE452N248	chl_a_ug	0.756327398146064	39		2	µg/L	geo_mean	+	6.3	0.120051967959693	1
Type I	20kmE454N160	chl_a_ug	8.97440298840441	3		2	µg/L	geo_mean	+	6.3	1.42450841085784	3
Type I	20kmE454N230	chl_a_ug	0.78711092479069	89		2	µg/L	geo_mean	+	6.3	0.124938242030268	1
Type I	20kmE454N232	chl_a_ug	2.50359909301958	979		2	µg/L	geo_mean	+	6.3	0.397396681431679	1
Type I	20kmE454N250	chl_a_ug	1.88643467144783	35		2	µg/L	geo_mean	+	6.3	0.299434074832989	1
Type I	20kmE456N202	chl_a_ug	6.02428003999001	55		2	µg/L	geo_mean	+	6.3	0.956234926982541	2
Type I	20kmE456N230	chl_a_ug	0.84788579872164	431		2	µg/L	geo_mean	+	6.3	0.134585047416133	1
Type I	20kmE458N202	chl_a_ug	3.43981501145238	13		2	µg/L	geo_mean	+	6.3	0.546002382770218	2
Type I	20kmE458N228	chl_a_ug	1.12054658686004	409		2	µg/L	geo_mean	+	6.3	0.177864537596831	1
Type I	20kmE460N202	chl_a_ug	7.73610292836137	25		2	µg/L	geo_mean	+	6.3	1.22795284577165	3
Type I	20kmE460N226	chl_a_ug	0.709789740891525	104		2	µg/L	geo_mean	+	6.3	0.11266503823675	1
Type I	20kmE462N200	chl_a_ug	1.09	1		2	µg/L	geo_mean	+	6.3	0.173015873015873	1
Type I	20kmE462N202	chl_a_ug	1.60341392953271	12		2	µg/L	geo_mean	+	6.3	0.254510147544874	1
Type I	20kmE462N224	chl_a_ug	0.525043975041183	25		2	µg/L	geo_mean	+	6.3	0.0833403134986005	1
Type I	20kmE466N246	chl_a_ug	0.430935827197168	126		2	µg/L	geo_mean	+	6.3	0.0684025122535188	1
Type I	20kmE476N210	chl_a_ug	2.41496149118884	16		2	µg/L	geo_mean	+	6.3	0.383327220823626	1
Type I	20kmE478N210	chl_a_ug	2.9950966594169	16		2	µg/L	geo_mean	+	6.3	0.475412168161412	1
Type I	20kmE478N230	chl_a_ug	1.17264595451529	65		2	µg/L	geo_mean	+	6.3	0.186134278494491	1
Type I	20kmE480N170	chl_a_ug	3.25006787674513	8		2	µg/L	geo_mean	+	6.3	0.515883789959544	2
Type I	20kmE480N210	chl_a_ug	3.06572544268472	16		2	µg/L	geo_mean	+	6.3	0.486623086140431	1
Type I	20kmE492N224	chl_a_ug	0.315645716694465	66		2	µg/L	geo_mean	+	6.3	0.0501024947134072	1
Type I	20kmE498N198	chl_a_ug	0.503084242903658	7		2	µg/L	geo_mean	+	6.3	0.0798546417307393	1
Type I	20kmE500N198	chl_a_ug	0.660329874377122	6		2	µg/L	geo_mean	+	6.3	0.104814265774146	1
Type I	20kmE502N194	chl_a_ug	0.98325200096105	8		2	µg/L	geo_mean	+	6.3	0.156071746184294	1
Type I	20kmE502N218	chl_a_ug	1.00954569705404	90		2	µg/L	geo_mean	+	6.3	0.160245348738736	1
Type I	20kmE504N194	chl_a_ug	0.643504802158894	18		2	µg/L	geo_mean	+	6.3	0.102143619390301	1
Type I	20kmE504N216	chl_a_ug	0.53713646694294	7		2	µg/L	geo_mean	+	6.3	0.0852597566576095	1
Type I	20kmE504N218	chl_a_ug	1.09603060453628	52		2	µg/L	geo_mean	+	6.3	0.173973111831156	1
Type I	20kmE508N212	chl_a_ug	1.02389183806865	30		2	µg/L	geo_mean	+	6.3	0.162522513979151	1
Type I	20kmE648N166	chl_a_ug	0.09	1		2	µg/L	geo_mean	+	6.3	0.0142857142857143	1
Type II-A	20kmE276N174	chl_a_ug	2.50568181818182	24		2	µg/L	p95	+	3.5	0.715909090909091	2
Type II-A	20kmE284N168	chl_a_ug	1.99475	16		2	µg/L	p95	+	3.5	0.569928571428571	2
Type II-A	20kmE328N166	chl_a_ug	0.57	2		2	µg/L	p95	+	3.5	0.162857142857143	1
Type II-A	20kmE332N166	chl_a_ug	0.585	2		2	µg/L	p95	+	3.5	0.167142857142857	1
Type II-A	20kmE332N168	chl_a_ug	0.5625	2		2	µg/L	p95	+	3.5	0.160714285714286	1
Type II-A	20kmE336N166	chl_a_ug	0.435	2		2	µg/L	p95	+	3.5	0.124285714285714	1
Type II-A	20kmE336N168	chl_a_ug	0.43	4		2	µg/L	p95	+	3.5	0.122857142857143	1
Type II-A	20kmE336N170	chl_a_ug	0.995	5		2	µg/L	p95	+	3.5	0.284285714285714	1
Type II-A	20kmE338N172	chl_a_ug	2.08	1		2	µg/L	p95	+	3.5	0.594285714285714	2
Type II-A	20kmE340N176	chl_a_ug	1.03	1		2	µg/L	p95	+	3.5	0.294285714285714	1
Type II-A	20kmE342N184	chl_a_ug	2.84	1		2	µg/L	p95	+	3.5	0.811428571428571	2
Type II-A	20kmE342N188	chl_a_ug	2.95	1		2	µg/L	p95	+	3.5	0.842857142857143	2
Type II-A	20kmE344N178	chl_a_ug	0.99	1		2	µg/L	p95	+	3.5	0.282857142857143	1
Type II-A	20kmE344N190	chl_a_ug	2.3	1		2	µg/L	p95	+	3.5	0.657142857142857	2
Type II-A	20kmE346N178	chl_a_ug	0.91	1		2	µg/L	p95	+	3.5	0.26	1
Type II-A	20kmE348N196	chl_a_ug	1.06	1		2	µg/L	p95	+	3.5	0.302857142857143	1
Type II-A	20kmE368N208	chl_a_ug	0.658	5		2	µg/L	p95	+	3.5	0.188	1
Type II-A	20kmE374N212	chl_a_ug	0.578	5		2	µg/L	p95	+	3.5	0.165142857142857	1
Type II-A	20kmE374N220	chl_a_ug	0.885832762406675	242		2	µg/L	p95	+	3.5	0.253095074973336	1
Type II-A	20kmE374N222	chl_a_ug	1.1425	23		2	µg/L	p95	+	3.5	0.326428571428571	1
Type II-A	20kmE374N224	chl_a_ug	0.72625	40		2	µg/L	p95	+	3.5	0.2075	1
Type II-A	20kmE378N226	chl_a_ug	1.08592712842713	67		2	µg/L	p95	+	3.5	0.310264893836322	1
Type II-A	20kmE380N226	chl_a_ug	1.00488648018648	258		2	µg/L	p95	+	3.5	0.287110422910423	1
Type II-A	20kmE386N226	chl_a_ug	1.64183838383838	51		2	µg/L	p95	+	3.5	0.469096681096681	1
Type II-A	20kmE392N224	chl_a_ug	0.380909090909091	12		2	µg/L	p95	+	3.5	0.108831168831169	1
Type II-A	20kmE394N224	chl_a_ug	0.27	12		2	µg/L	p95	+	3.5	0.0771428571428572	1
Type II-A	20kmE398N222	chl_a_ug	0.355417941323503	258		2	µg/L	p95	+	3.5	0.101547983235287	1
Type II-A	20kmE418N184	chl_a_ug	0.66145202020202	47		2	µg/L	p95	+	3.5	0.188986291486291	1
Type II-A	20kmE418N186	chl_a_ug	0.245833333333333	12		2	µg/L	p95	+	3.5	0.0702380952380952	1
Type II-A Adriatic	100kmE49N21	chl_a_ug	0.514512279735736	8		2	µg/L	geo_mean	+	1.5	0.34300818649049	1
Type II-A Adriatic	20kmE420N208	chl_a_ug	0.256404046780027	36		2	µg/L	geo_mean	+	1.5	0.170936031186685	1
Type II-A Adriatic	20kmE420N210	chl_a_ug	0.131071837829652	22		2	µg/L	geo_mean	+	1.5	0.0873812252197683	1
Type II-A Adriatic	20kmE426N210	chl_a_ug	3.00763698724861	8		2	µg/L	geo_mean	+	1.5	2.0050913248324	4
Type II-A Adriatic	20kmE428N210	chl_a_ug	0.61057383927643	280		2	µg/L	geo_mean	+	1.5	0.407049226184286	1
Type II-A Adriatic	20kmE446N210	chl_a_ug	1.10256702297367	20		2	µg/L	geo_mean	+	1.5	0.735044681982447	2
Type II-A Adriatic	20kmE448N208	chl_a_ug	1.245519412993	31		2	µg/L	geo_mean	+	1.5	0.830346275328668	2
Type II-A Adriatic	20kmE450N206	chl_a_ug	1.2	1		2	µg/L	geo_mean	+	1.5	0.8	2
Type II-A Adriatic	20kmE450N208	chl_a_ug	1.77328205105501	18		2	µg/L	geo_mean	+	1.5	1.18218803403667	3
Type II-A Adriatic	20kmE450N246	chl_a_ug	0.803452743751971	52		2	µg/L	geo_mean	+	1.5	0.535635162501314	2
Type II-A Adriatic	20kmE452N204	chl_a_ug	1.14450826422524	15		2	µg/L	geo_mean	+	1.5	0.76300550948349	2
Type II-A Adriatic	20kmE452N206	chl_a_ug	1.39611042002351	8		2	µg/L	geo_mean	+	1.5	0.930740280015671	2
Type II-A Adriatic	20kmE454N202	chl_a_ug	0.455578599374901	6		2	µg/L	geo_mean	+	1.5	0.303719066249934	1
Type II-A Adriatic	20kmE454N204	chl_a_ug	0.97711405983752	12		2	µg/L	geo_mean	+	1.5	0.651409373225013	2
Type II-A Adriatic	20kmE456N202	chl_a_ug	2.35063797777317	24		2	µg/L	geo_mean	+	1.5	1.56709198518211	3
Type II-A Adriatic	20kmE458N202	chl_a_ug	0.635	2		2	µg/L	geo_mean	+	1.5	0.423333333333333	1
Type II-A Adriatic	20kmE458N244	chl_a_ug	0.323336438220104	243		2	µg/L	geo_mean	+	1.5	0.21555762548007	1
Type II-A Adriatic	20kmE458N248	chl_a_ug	0.492971958733353	183		2	µg/L	geo_mean	+	1.5	0.328647972488902	1
Type II-A Adriatic	20kmE460N202	chl_a_ug	0.523333333333333	3		2	µg/L	geo_mean	+	1.5	0.348888888888889	1
Type II-A Adriatic	20kmE460N226	chl_a_ug	0.750414568745716	222		2	µg/L	geo_mean	+	1.5	0.500276379163811	2
Type II-A Adriatic	20kmE460N228	chl_a_ug	0.971805288309311	411		2	µg/L	geo_mean	+	1.5	0.647870192206208	2
Type II-A Adriatic	20kmE460N244	chl_a_ug	0.334395301916466	213		2	µg/L	geo_mean	+	1.5	0.222930201277644	1
Type II-A Adriatic	20kmE460N248	chl_a_ug	0.565953703426921	216		2	µg/L	geo_mean	+	1.5	0.37730246895128	1
Type II-A Adriatic	20kmE460N250	chl_a_ug	0.627458614204955	504		2	µg/L	geo_mean	+	1.5	0.418305742803303	1
Type II-A Adriatic	20kmE462N202	chl_a_ug	1.32333333333333	3		2	µg/L	geo_mean	+	1.5	0.882222222222222	2
Type II-A Adriatic	20kmE462N222	chl_a_ug	0.433138976579094	47		2	µg/L	geo_mean	+	1.5	0.288759317719396	1
Type II-A Adriatic	20kmE462N224	chl_a_ug	0.64498272495212	240		2	µg/L	geo_mean	+	1.5	0.429988483301413	1
Type II-A Adriatic	20kmE462N226	chl_a_ug	0.908952184597305	121		2	µg/L	geo_mean	+	1.5	0.60596812306487	2
Type II-A Adriatic	20kmE464N218	chl_a_ug	0.279501751603998	80		2	µg/L	geo_mean	+	1.5	0.186334501069332	1
Type II-A Adriatic	20kmE464N220	chl_a_ug	0.322547685832623	89		2	µg/L	geo_mean	+	1.5	0.215031790555082	1
Type II-A Adriatic	20kmE464N240	chl_a_ug	0.143390205422573	99		2	µg/L	geo_mean	+	1.5	0.0955934702817156	1
Type II-A Adriatic	20kmE466N216	chl_a_ug	0.340830424121026	40		2	µg/L	geo_mean	+	1.5	0.22722028274735	1
Type II-A Adriatic	20kmE466N246	chl_a_ug	0.154523685084981	99		2	µg/L	geo_mean	+	1.5	0.103015790056654	1
Type II-A Adriatic	20kmE468N214	chl_a_ug	0.449143153092341	40		2	µg/L	geo_mean	+	1.5	0.299428768728227	1
Type II-A Adriatic	20kmE468N246	chl_a_ug	0.179431680707582	87		2	µg/L	geo_mean	+	1.5	0.119621120471722	1
Type II-A Adriatic	20kmE470N212	chl_a_ug	0.353091921459867	80		2	µg/L	geo_mean	+	1.5	0.235394614306578	1
Type II-A Adriatic	20kmE472N234	chl_a_ug	0.289153927190651	113		2	µg/L	geo_mean	+	1.5	0.192769284793767	1
Type II-A Adriatic	20kmE472N238	chl_a_ug	0.371850590736229	12		2	µg/L	geo_mean	+	1.5	0.247900393824153	1
Type II-A Adriatic	20kmE474N234	chl_a_ug	0.301437683629094	50		2	µg/L	geo_mean	+	1.5	0.200958455752729	1
Type II-A Adriatic	20kmE476N210	chl_a_ug	0.403178936159663	43		2	µg/L	geo_mean	+	1.5	0.268785957439775	1
Type II-A Adriatic	20kmE478N210	chl_a_ug	0.357126319453302	48		2	µg/L	geo_mean	+	1.5	0.238084212968868	1
Type II-A Adriatic	20kmE478N228	chl_a_ug	0.212348987269655	59		2	µg/L	geo_mean	+	1.5	0.141565991513103	1
Type II-A Adriatic	20kmE478N230	chl_a_ug	0.355305603861646	48		2	µg/L	geo_mean	+	1.5	0.236870402574431	1
Type II-A Adriatic	20kmE480N206	chl_a_ug	0.922456026676485	78		2	µg/L	geo_mean	+	1.5	0.61497068445099	2
Type II-A Adriatic	20kmE480N210	chl_a_ug	0.288352384459257	40		2	µg/L	geo_mean	+	1.5	0.192234922972838	1
Type II-A Adriatic	20kmE482N204	chl_a_ug	0.582522806935114	97		2	µg/L	geo_mean	+	1.5	0.388348537956743	1
Type II-A Adriatic	20kmE482N208	chl_a_ug	0.494745761483685	24		2	µg/L	geo_mean	+	1.5	0.32983050765579	1
Type II-A Adriatic	20kmE482N210	chl_a_ug	0.343071560048495	70		2	µg/L	geo_mean	+	1.5	0.228714373365663	1
Type II-A Adriatic	20kmE482N222	chl_a_ug	0.143643202743634	141		2	µg/L	geo_mean	+	1.5	0.0957621351624228	1
Type II-A Adriatic	20kmE482N226	chl_a_ug	0.239558539180698	152		2	µg/L	geo_mean	+	1.5	0.159705692787132	1
Type II-A Adriatic	20kmE482N228	chl_a_ug	0.526064229557979	219		2	µg/L	geo_mean	+	1.5	0.350709486371986	1
Type II-A Adriatic	20kmE484N204	chl_a_ug	0.682200644520297	48		2	µg/L	geo_mean	+	1.5	0.454800429680198	1
Type II-A Adriatic	20kmE484N228	chl_a_ug	0.851938785485954	219		2	µg/L	geo_mean	+	1.5	0.567959190323969	2
Type II-A Adriatic	20kmE486N202	chl_a_ug	0.371745829972802	24		2	µg/L	geo_mean	+	1.5	0.247830553315202	1
Type II-A Adriatic	20kmE486N228	chl_a_ug	0.261694544461796	50		2	µg/L	geo_mean	+	1.5	0.174463029641198	1
Type II-A Adriatic	20kmE488N202	chl_a_ug	0.406746210424808	24		2	µg/L	geo_mean	+	1.5	0.271164140283206	1
Type II-A Adriatic	20kmE490N202	chl_a_ug	0.353269600415775	36		2	µg/L	geo_mean	+	1.5	0.23551306694385	1
Type II-A Adriatic	20kmE492N196	chl_a_ug	1.16726352506796	9		2	µg/L	geo_mean	+	1.5	0.778175683378639	2
Type II-A Adriatic	20kmE494N196	chl_a_ug	2.57688043111228	8		2	µg/L	geo_mean	+	1.5	1.71792028740818	3
Type II-A Adriatic	20kmE494N222	chl_a_ug	0.459454974891914	38		2	µg/L	geo_mean	+	1.5	0.306303316594609	1
Type II-A Adriatic	20kmE496N220	chl_a_ug	0.326582682043921	8		2	µg/L	geo_mean	+	1.5	0.217721788029281	1
Type II-A Adriatic	20kmE498N194	chl_a_ug	0.251797337011669	9		2	µg/L	geo_mean	+	1.5	0.167864891341113	1
Type II-A Adriatic	20kmE498N220	chl_a_ug	0.137409287109895	47		2	µg/L	geo_mean	+	1.5	0.0916061914065967	1
Type II-A Adriatic	20kmE502N218	chl_a_ug	0.376153278078564	24		2	µg/L	geo_mean	+	1.5	0.250768852052376	1
Type II-A Adriatic	20kmE504N216	chl_a_ug	0.44458397495342	24		2	µg/L	geo_mean	+	1.5	0.296389316635613	1
Type II-A Adriatic	20kmE506N214	chl_a_ug	0.801566504984475	29		2	µg/L	geo_mean	+	1.5	0.53437766998965	2
Type II-A Adriatic	20kmE506N216	chl_a_ug	1.0928167350334	4		2	µg/L	geo_mean	+	1.5	0.728544490022266	2
Type II-A Adriatic	20kmE508N212	chl_a_ug	1.5353310784034	26		2	µg/L	geo_mean	+	1.5	1.02355405226893	3
Type II-A Tyrrhenian	20kmE432N230	chl_a_ug	0.657842823944086	5		2	µg/L	geo_mean	+	1.2	0.548202353286738	2
Type II-A Tyrrhenian	20kmE432N232	chl_a_ug	0.251188643150958	5		2	µg/L	geo_mean	+	1.2	0.209323869292465	1
Type II-A Tyrrhenian	20kmE434N224	chl_a_ug	0.143096908110526	5		2	µg/L	geo_mean	+	1.2	0.119247423425438	1
Type II-A Tyrrhenian	20kmE434N226	chl_a_ug	0.294822949453801	11		2	µg/L	geo_mean	+	1.2	0.245685791211501	1
Type II-A Tyrrhenian	20kmE434N228	chl_a_ug	0.480449773592573	5		2	µg/L	geo_mean	+	1.2	0.400374811327144	1
Type II-A Tyrrhenian	20kmE436N218	chl_a_ug	0.134800615459728	6		2	µg/L	geo_mean	+	1.2	0.11233384621644	1
Type II-A Tyrrhenian	20kmE436N222	chl_a_ug	0.125992104989487	6		2	µg/L	geo_mean	+	1.2	0.104993420824573	1
Type II-A Tyrrhenian	20kmE438N216	chl_a_ug	0.168021072685633	6		2	µg/L	geo_mean	+	1.2	0.140017560571361	1
Type II-A Tyrrhenian	20kmE438N218	chl_a_ug	0.1200936955176	6		2	µg/L	geo_mean	+	1.2	0.100078079598	1
Type II-A Tyrrhenian	20kmE440N214	chl_a_ug	0.173389963381103	8		2	µg/L	geo_mean	+	1.2	0.14449163615092	1
Type II-A Tyrrhenian	20kmE440N216	chl_a_ug	0.15130857494229	6		2	µg/L	geo_mean	+	1.2	0.126090479118575	1
Type II-A Tyrrhenian	20kmE442N214	chl_a_ug	0.159556312467722	6		2	µg/L	geo_mean	+	1.2	0.132963593723102	1
Type III-E	20kmE634N160	chl_a_ug	0.067	6		2	µg/L	p95	+	0.4	0.1675	1
Type III-E	20kmE634N162	chl_a_ug	0.054	8		2	µg/L	p95	+	0.4	0.135	1
Type III-E	20kmE636N158	chl_a_ug	0.11	1		2	µg/L	p95	+	0.4	0.275	1
Type III-E	20kmE642N160	chl_a_ug	0.105371031746032	37		2	µg/L	p95	+	0.4	0.263427579365079	1
Type III-E	20kmE644N160	chl_a_ug	0.0906944444444445	22		2	µg/L	p95	+	0.4	0.226736111111111	1
Type III-E	20kmE644N162	chl_a_ug	0.08975	20		2	µg/L	p95	+	0.4	0.224375	1
Type III-E	20kmE646N164	chl_a_ug	0.131666666666667	6		2	µg/L	p95	+	0.4	0.329166666666667	1
Type III-E	20kmE648N166	chl_a_ug	0.0622777777777778	65		2	µg/L	p95	+	0.4	0.155694444444444	1
Type III-E	20kmE650N166	chl_a_ug	0.0619230769230769	20		2	µg/L	p95	+	0.4	0.154807692307692	1
Type III-W	20kmE278N174	chl_a_ug	2.0755	16		2	µg/L	p95	+	1.89	1.09814814814815	3
Type III-W	20kmE284N164	chl_a_ug	1.51881944444444	15		2	µg/L	p95	+	1.89	0.803608171663727	2
Type III-W	20kmE290N158	chl_a_ug	0.69225	16		2	µg/L	p95	+	1.89	0.366269841269841	1
Type III-W	20kmE292N158	chl_a_ug	0.593	16		2	µg/L	p95	+	1.89	0.313756613756614	1
Type III-W	20kmE306N162	chl_a_ug	0.841875	16		2	µg/L	p95	+	1.89	0.445436507936508	1
Type III-W	20kmE322N160	chl_a_ug	0.2663125	24		2	µg/L	p95	+	1.89	0.140906084656085	1
Type III-W	20kmE328N166	chl_a_ug	0.195875	16		2	µg/L	p95	+	1.89	0.103637566137566	1
Type III-W	20kmE330N166	chl_a_ug	0.504166666666667	6		2	µg/L	p95	+	1.89	0.266754850088183	1
Type III-W	20kmE330N168	chl_a_ug	0.901666666666667	4		2	µg/L	p95	+	1.89	0.477072310405644	1
Type III-W	20kmE332N168	chl_a_ug	0.795	4		2	µg/L	p95	+	1.89	0.420634920634921	1
Type III-W	20kmE334N166	chl_a_ug	0.3425	8		2	µg/L	p95	+	1.89	0.181216931216931	1
Type III-W	20kmE334N168	chl_a_ug	1.4675	4		2	µg/L	p95	+	1.89	0.776455026455027	2
Type III-W	20kmE336N168	chl_a_ug	2.125	2		2	µg/L	p95	+	1.89	1.12433862433862	3
Type III-W	20kmE336N170	chl_a_ug	0.3875	2		2	µg/L	p95	+	1.89	0.205026455026455	1
Type III-W	20kmE354N200	chl_a_ug	2.79	1		2	µg/L	p95	+	1.89	1.47619047619048	3
Type III-W	20kmE356N178	chl_a_ug	0.23	2		2	µg/L	p95	+	1.89	0.121693121693122	1
Type III-W	20kmE356N182	chl_a_ug	0.17	1		2	µg/L	p95	+	1.89	0.08994708994709	1
Type III-W	20kmE356N202	chl_a_ug	0.424	5		2	µg/L	p95	+	1.89	0.224338624338624	1
Type III-W	20kmE362N204	chl_a_ug	0.684	5		2	µg/L	p95	+	1.89	0.361904761904762	1
Type III-W	20kmE368N184	chl_a_ug	0.7	1		2	µg/L	p95	+	1.89	0.37037037037037	1
Type III-W	20kmE368N188	chl_a_ug	0.16	1		2	µg/L	p95	+	1.89	0.0846560846560847	1
Type III-W	20kmE370N180	chl_a_ug	0.33	1		2	µg/L	p95	+	1.89	0.174603174603175	1
Type III-W	20kmE370N182	chl_a_ug	0.31	1		2	µg/L	p95	+	1.89	0.164021164021164	1
Type III-W	20kmE372N188	chl_a_ug	0.285	2		2	µg/L	p95	+	1.89	0.150793650793651	1
Type III-W	20kmE374N210	chl_a_ug	0.462	5		2	µg/L	p95	+	1.89	0.244444444444444	1
Type III-W	20kmE380N188	chl_a_ug	0.16	1		2	µg/L	p95	+	1.89	0.0846560846560847	1
Type III-W	20kmE380N190	chl_a_ug	0.21	1		2	µg/L	p95	+	1.89	0.111111111111111	1
Type III-W	20kmE380N226	chl_a_ug	2.773	47		2	µg/L	p95	+	1.89	1.46719576719577	3
Type III-W	20kmE396N222	chl_a_ug	0.27875	20		2	µg/L	p95	+	1.89	0.147486772486772	1
Type III-W	20kmE402N220	chl_a_ug	0.248592592592593	78		2	µg/L	p95	+	1.89	0.131530472271213	1
Type III-W	20kmE406N226	chl_a_ug	0.40625	26		2	µg/L	p95	+	1.89	0.21494708994709	1
Type III-W	20kmE418N184	chl_a_ug	0.176666666666667	12		2	µg/L	p95	+	1.89	0.0934744268077601	1
Type III-W Adriatic	20kmE476N212	chl_a_ug	0.1375603295821	25		2	µg/L	geo_mean	+	0.64	0.214938014972031	1
Type III-W Adriatic	20kmE480N206	chl_a_ug	0.68990172015528	78		2	µg/L	geo_mean	+	0.64	1.07797143774263	3
Type III-W Adriatic	20kmE482N204	chl_a_ug	1.05648502297968	9		2	µg/L	geo_mean	+	0.64	1.65075784840576	3
Type III-W Adriatic	20kmE482N208	chl_a_ug	0.563675011190761	72		2	µg/L	geo_mean	+	0.64	0.880742204985563	2
Type III-W Adriatic	20kmE486N202	chl_a_ug	0.328738755457337	36		2	µg/L	geo_mean	+	0.64	0.513654305402089	2
Type III-W Adriatic	20kmE486N204	chl_a_ug	0.21763182124788	12		2	µg/L	geo_mean	+	0.64	0.340049720699813	1
Type III-W Adriatic	20kmE488N202	chl_a_ug	0.329282216103008	12		2	µg/L	geo_mean	+	0.64	0.51450346266095	2
Type III-W Adriatic	20kmE490N194	chl_a_ug	0.277017975419382	45		2	µg/L	geo_mean	+	0.64	0.432840586592784	1
Type III-W Adriatic	20kmE490N196	chl_a_ug	0.445539115698659	22		2	µg/L	geo_mean	+	0.64	0.696154868279154	2
Type III-W Adriatic	20kmE492N194	chl_a_ug	0.257417953412442	31		2	µg/L	geo_mean	+	0.64	0.40221555220694	1
Type III-W Adriatic	20kmE492N196	chl_a_ug	0.306971082119015	79		2	µg/L	geo_mean	+	0.64	0.479642315810961	1
