Country	ID	GRIDCODE	AREA	Category	Parameter	Obs	Threshold	Response	weight	ER
HELCOM	DEN-018	20kmE438N354	368029.633735	2	Chlorophyll a, Summer	1.899999976	1.5	+	1	1.26666665066667
HELCOM	DEN-019	20kmE444N348	13286777.696239	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE444N348	13286777.696239	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE444N350	132866690.591105	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE444N350	132866690.591105	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE444N352	24732536.22934	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE444N352	24732536.22934	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE446N352	148431635.699549	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE446N352	148431635.699549	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE448N352	13615441.537832	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE448N352	13615441.537832	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE446N354	21664612.152908	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE446N354	21664612.152908	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-019	20kmE448N354	9123539.799332	2	Chlorophyll a, Summer	1.899999976	1.7	+	1	1.11764704470588
HELCOM	DEN-019	20kmE448N354	9123539.799332	3	Depth limit of eelgrass (macrophytes), Summer	5.900000095	7	-	1	1.1864406588624
HELCOM	DEN-020	20kmE444N352	47845921.999917	2	Chlorophyll a, Summer	1.700000048	1.5	+	1	1.13333336533333
HELCOM	DEN-020	20kmE446N352	6911092.409481	2	Chlorophyll a, Summer	1.700000048	1.5	+	1	1.13333336533333
HELCOM	DEN-020	20kmE442N354	5923165.919602	2	Chlorophyll a, Summer	1.700000048	1.5	+	1	1.13333336533333
HELCOM	DEN-020	20kmE444N354	40325462.190066	2	Chlorophyll a, Summer	1.700000048	1.5	+	1	1.13333336533333
HELCOM	DEN-021	20kmE444N354	730744.443859	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE444N354	730744.443859	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE444N354	730744.443859	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-021	20kmE446N354	174624139.833153	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE446N354	174624139.833153	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE446N354	174624139.833153	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-021	20kmE448N354	49157177.393688	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE448N354	49157177.393688	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE448N354	49157177.393688	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-021	20kmE444N356	36156458.659676	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE444N356	36156458.659676	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE444N356	36156458.659676	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-021	20kmE446N356	281912593.146662	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE446N356	281912593.146662	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE446N356	281912593.146662	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-021	20kmE448N356	12631619.788356	2	Chlorophyll a, Summer	1.600000024	1.7	+	1	0.941176484705882
HELCOM	DEN-021	20kmE448N356	12631619.788356	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
HELCOM	DEN-021	20kmE448N356	12631619.788356	3	Depth limit of eelgrass (macrophytes), Summer	5.699999809	8.1	-	1	1.42105267919668
HELCOM	DEN-022	20kmE444N354	1860081.929308	2	Chlorophyll a, Summer	3.700000048	2.1	+	1	1.7619047847619
HELCOM	DEN-022	20kmE444N354	1860081.929308	3	Zoobenthos Quality element	0.839999974	0.68	-	1	0.8095238345805
HELCOM	DEN-022	20kmE444N354	1860081.929308	3	Depth limit of eelgrass (macrophytes), Summer	3.099999905	4.1	-	1	1.32258068569199
HELCOM	DEN-022	20kmE444N356	20005685.502534	2	Chlorophyll a, Summer	3.700000048	2.1	+	1	1.7619047847619
HELCOM	DEN-022	20kmE444N356	20005685.502534	3	Zoobenthos Quality element	0.839999974	0.68	-	1	0.8095238345805
HELCOM	DEN-022	20kmE444N356	20005685.502534	3	Depth limit of eelgrass (macrophytes), Summer	3.099999905	4.1	-	1	1.32258068569199
HELCOM	DEN-023	20kmE444N352	19044817.591956	2	Chlorophyll a, Summer	1.600000024	2.1	+	1	0.761904773333333
HELCOM	DEN-023	20kmE444N352	19044817.591956	3	Zoobenthos Quality element	0.829999983	0.68	-	1	0.81927712521411
HELCOM	DEN-023	20kmE444N352	19044817.591956	3	Depth limit of eelgrass (macrophytes), Summer	4.099999905	4.1	-	1	1.00000002317073
HELCOM	DEN-023	20kmE444N354	47118641.581607	2	Chlorophyll a, Summer	1.600000024	2.1	+	1	0.761904773333333
HELCOM	DEN-023	20kmE444N354	47118641.581607	3	Zoobenthos Quality element	0.829999983	0.68	-	1	0.81927712521411
HELCOM	DEN-023	20kmE444N354	47118641.581607	3	Depth limit of eelgrass (macrophytes), Summer	4.099999905	4.1	-	1	1.00000002317073
HELCOM	DEN-023	20kmE446N354	66750354.733009	2	Chlorophyll a, Summer	1.600000024	2.1	+	1	0.761904773333333
HELCOM	DEN-023	20kmE446N354	66750354.733009	3	Zoobenthos Quality element	0.829999983	0.68	-	1	0.81927712521411
HELCOM	DEN-023	20kmE446N354	66750354.733009	3	Depth limit of eelgrass (macrophytes), Summer	4.099999905	4.1	-	1	1.00000002317073
HELCOM	DEN-024	20kmE446N354	5187030.508673	2	Chlorophyll a, Summer	13.10000038	2.1	+	1	6.23809541904762
HELCOM	DEN-025	20kmE462N354	43778799.424462	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE464N354	30156534.902043	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE460N356	17255393.718711	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE462N356	36140962.280567	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE464N356	45693106.986552	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE460N358	265818.552299	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-025	20kmE462N358	40397067.901742	2	Chlorophyll a, Summer	2.700000048	1.7	+	1	1.58823532235294
HELCOM	DEN-027	20kmE432N360	3789680.842843	2	Chlorophyll a, Summer	7.699999809	3.6	+	1	2.13888883583333
HELCOM	DEN-027	20kmE432N360	3789680.842843	3	Zoobenthos Quality element	0.620000005	0.68	-	1	1.09677418470343
HELCOM	DEN-027	20kmE434N360	1010665.508668	2	Chlorophyll a, Summer	7.699999809	3.6	+	1	2.13888883583333
HELCOM	DEN-027	20kmE434N360	1010665.508668	3	Zoobenthos Quality element	0.620000005	0.68	-	1	1.09677418470343
HELCOM	DEN-028	20kmE434N360	860888.56411	2	Chlorophyll a, Summer	1.700000048	3.6	+	1	0.472222235555556
HELCOM	DEN-028	20kmE434N360	860888.56411	3	Depth limit of eelgrass (macrophytes), Summer	4.400000095	5.6	-	1	1.27272724524793
HELCOM	DEN-029	20kmE434N360	3230556.099646	3	Depth limit of eelgrass (macrophytes), Summer	3.5	5.1	-	1	1.45714285714286
HELCOM	DEN-030	20kmE434N354	6687719.136561	2	Chlorophyll a, Summer	4.800000191	3.6	+	1	1.33333338638889
HELCOM	DEN-030	20kmE434N354	6687719.136561	3	Depth limit of eelgrass (macrophytes), Summer	6.099999905	6.2	-	1	1.01639345845203
HELCOM	DEN-031	20kmE436N354	2860143.418122	2	Chlorophyll a, Summer	2.200000048	2.1	+	1	1.04761907047619
HELCOM	DEN-032	20kmE436N354	1178898.401059	3	Depth limit of eelgrass (macrophytes), Summer	1.399999976	4.1	-	1	2.92857147877551
HELCOM	DEN-033	20kmE436N352	6891629.732616	2	Chlorophyll a, Summer	1.200000048	2.1	+	1	0.571428594285714
HELCOM	DEN-034	20kmE434N354	222629.836511	2	Chlorophyll a, Summer	19.5	7	+	1	2.78571428571429
HELCOM	DEN-035	20kmE436N352	83128.570672	2	Chlorophyll a, Summer	43.79999924	7	+	1	6.25714274857143
HELCOM	DEN-036	20kmE436N352	255814.769086	2	Chlorophyll a, Summer	24.79999924	7	+	1	3.54285703428571
HELCOM	DEN-037	20kmE434N352	10074514.883832	2	Chlorophyll a, Summer	1.5	2.1	+	1	0.714285714285714
HELCOM	DEN-037	20kmE434N352	10074514.883832	3	Depth limit of eelgrass (macrophytes), Summer	6.099999905	6.1	-	1	1.00000001557377
HELCOM	DEN-038	20kmE430N358	262072.742955	2	Chlorophyll a, Summer	26.60000038	3.6	+	1	7.38888899444444
HELCOM	DEN-039	20kmE430N358	838001.093404	2	Chlorophyll a, Summer	8.100000381	3.6	+	1	2.25000010583333
HELCOM	DEN-040	20kmE432N360	105261.303288	2	Chlorophyll a, Summer	258	2.1	+	1	122.857142857143
HELCOM	DEN-041	20kmE430N358	200159.749306	2	Chlorophyll a, Summer	171.8999939	7	+	1	24.5571419857143
HELCOM	DEN-042	20kmE430N358	10314007.298848	2	Chlorophyll a, Summer	2.900000095	2.1	+	1	1.38095242619048
HELCOM	DEN-042	20kmE430N358	10314007.298848	3	Depth limit of eelgrass (macrophytes), Summer	2.299999952	5.6	-	1	2.43478265950851
HELCOM	DEN-043	20kmE430N356	263379.966201	2	Chlorophyll a, Summer	9.199999809	2.1	+	1	4.38095229
HELCOM	DEN-044	20kmE430N356	171463.651533	2	Chlorophyll a, Summer	28.29999924	3.6	+	1	7.8611109
HELCOM	DEN-045	20kmE436N356	504858.930186	2	Chlorophyll a, Summer	13.39999962	3.6	+	1	3.72222211666667
HELCOM	DEN-046	20kmE434N358	1329620.45434	2	Chlorophyll a, Summer	2.700000048	3.6	+	1	0.750000013333333
HELCOM	DEN-046	20kmE436N358	2052663.270179	2	Chlorophyll a, Summer	2.700000048	3.6	+	1	0.750000013333333
HELCOM	DEN-047	20kmE434N358	5402651.180862	2	Chlorophyll a, Summer	4.5	2.1	+	1	2.14285714285714
HELCOM	DEN-047	20kmE434N358	5402651.180862	3	Depth limit of eelgrass (macrophytes), Summer	2.200000048	3.6	-	1	1.63636360066116
HELCOM	DEN-048	20kmE436N356	8095310.273632	2	Chlorophyll a, Summer	2.200000048	3.6	+	1	0.611111124444444
HELCOM	DEN-048	20kmE436N356	8095310.273632	3	Zoobenthos Quality element	0.670000017	0.68	-	1	1.01492534738249
HELCOM	DEN-048	20kmE436N356	8095310.273632	3	Depth limit of eelgrass (macrophytes), Summer	3.799999952	6.2	-	1	1.63157896797784
HELCOM	DEN-049	20kmE432N354	32160761.274198	2	Chlorophyll a, Summer	3.799999952	2.1	+	1	1.80952378666667
HELCOM	DEN-049	20kmE432N354	32160761.274198	3	Zoobenthos Quality element	0.730000019	0.68	-	1	0.93150682507037
HELCOM	DEN-049	20kmE432N354	32160761.274198	3	Depth limit of eelgrass (macrophytes), Summer	5.400000095	5.6	-	1	1.03703701879287
HELCOM	DEN-049	20kmE430N356	68.168003	2	Chlorophyll a, Summer	3.799999952	2.1	+	1	1.80952378666667
HELCOM	DEN-049	20kmE430N356	68.168003	3	Zoobenthos Quality element	0.730000019	0.68	-	1	0.93150682507037
HELCOM	DEN-049	20kmE430N356	68.168003	3	Depth limit of eelgrass (macrophytes), Summer	5.400000095	5.6	-	1	1.03703701879287
HELCOM	DEN-049	20kmE432N356	34861063.870876	2	Chlorophyll a, Summer	3.799999952	2.1	+	1	1.80952378666667
HELCOM	DEN-049	20kmE432N356	34861063.870876	3	Zoobenthos Quality element	0.730000019	0.68	-	1	0.93150682507037
HELCOM	DEN-049	20kmE432N356	34861063.870876	3	Depth limit of eelgrass (macrophytes), Summer	5.400000095	5.6	-	1	1.03703701879287
HELCOM	DEN-050	20kmE436N354	10680180.935831	2	Chlorophyll a, Summer	1.899999976	2.1	+	1	0.904761893333333
HELCOM	DEN-050	20kmE436N354	10680180.935831	3	Depth limit of eelgrass (macrophytes), Summer	3.700000048	5	-	1	1.35135133382031
HELCOM	DEN-051	20kmE436N352	667739.69323	2	Chlorophyll a, Summer	2.400000095	1.5	+	1	1.60000006333333
HELCOM	DEN-051	20kmE436N352	667739.69323	3	Zoobenthos Quality element	0.639999986	0.72	-	1	1.12500002460938
HELCOM	DEN-051	20kmE436N352	667739.69323	3	Depth limit of eelgrass (macrophytes), Summer	6	8.1	-	1	1.35
HELCOM	DEN-051	20kmE436N354	154791970.919688	2	Chlorophyll a, Summer	2.400000095	1.5	+	1	1.60000006333333
HELCOM	DEN-051	20kmE436N354	154791970.919688	3	Zoobenthos Quality element	0.639999986	0.72	-	1	1.12500002460938
HELCOM	DEN-051	20kmE436N354	154791970.919688	3	Depth limit of eelgrass (macrophytes), Summer	6	8.1	-	1	1.35
HELCOM	DEN-051	20kmE436N356	52318393.697282	2	Chlorophyll a, Summer	2.400000095	1.5	+	1	1.60000006333333
HELCOM	DEN-051	20kmE436N356	52318393.697282	3	Zoobenthos Quality element	0.639999986	0.72	-	1	1.12500002460938
HELCOM	DEN-051	20kmE436N356	52318393.697282	3	Depth limit of eelgrass (macrophytes), Summer	6	8.1	-	1	1.35
HELCOM	DEN-052	20kmE434N358	26065007.782713	2	Chlorophyll a, Summer	4	3.6	+	1	1.11111111111111
HELCOM	DEN-052	20kmE434N358	26065007.782713	3	Zoobenthos Quality element	0.639999986	0.68	-	1	1.06250002324219
HELCOM	DEN-052	20kmE434N358	26065007.782713	3	Depth limit of eelgrass (macrophytes), Summer	2.900000095	4.2	-	1	1.44827581462545
HELCOM	DEN-052	20kmE436N358	847668.362075	2	Chlorophyll a, Summer	4	3.6	+	1	1.11111111111111
HELCOM	DEN-052	20kmE436N358	847668.362075	3	Zoobenthos Quality element	0.639999986	0.68	-	1	1.06250002324219
HELCOM	DEN-052	20kmE436N358	847668.362075	3	Depth limit of eelgrass (macrophytes), Summer	2.900000095	4.2	-	1	1.44827581462545
HELCOM	DEN-052	20kmE434N360	4674000.536543	2	Chlorophyll a, Summer	4	3.6	+	1	1.11111111111111
HELCOM	DEN-052	20kmE434N360	4674000.536543	3	Zoobenthos Quality element	0.639999986	0.68	-	1	1.06250002324219
HELCOM	DEN-052	20kmE434N360	4674000.536543	3	Depth limit of eelgrass (macrophytes), Summer	2.900000095	4.2	-	1	1.44827581462545
HELCOM	DEN-052	20kmE436N360	44220.94026	2	Chlorophyll a, Summer	4	3.6	+	1	1.11111111111111
HELCOM	DEN-052	20kmE436N360	44220.94026	3	Zoobenthos Quality element	0.639999986	0.68	-	1	1.06250002324219
HELCOM	DEN-052	20kmE436N360	44220.94026	3	Depth limit of eelgrass (macrophytes), Summer	2.900000095	4.2	-	1	1.44827581462545
HELCOM	DEN-053	20kmE434N358	15475053.092283	2	Chlorophyll a, Summer	5.800000191	3.6	+	1	1.61111116416667
HELCOM	DEN-053	20kmE434N358	15475053.092283	3	Zoobenthos Quality element	0.639999986	0.68	-	1	1.06250002324219
HELCOM	DEN-053	20kmE434N358	15475053.092283	3	Depth limit of eelgrass (macrophytes), Summer	2.200000048	4.2	-	1	1.90909086743802
HELCOM	DEN-054	20kmE436N350	13683714.571519	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE436N350	13683714.571519	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-054	20kmE436N352	43933136.713796	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE436N352	43933136.713796	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-054	20kmE436N354	16815075.627837	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE436N354	16815075.627837	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-054	20kmE438N354	25098361.5431	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE438N354	25098361.5431	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-054	20kmE436N356	65311300.275594	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE436N356	65311300.275594	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-054	20kmE438N356	17005210.326636	2	Chlorophyll a, Summer	2.200000048	1.7	+	1	1.29411767529412
HELCOM	DEN-054	20kmE438N356	17005210.326636	3	Depth limit of eelgrass (macrophytes), Summer	6.5	8.1	-	1	1.24615384615385
HELCOM	DEN-055	20kmE436N356	4622201.267107	2	Chlorophyll a, Summer	2	1.9	+	1	1.05263157894737
HELCOM	DEN-055	20kmE436N356	4622201.267107	3	Zoobenthos Quality element	0.75999999	0.68	-	1	0.894736853878117
